symbol,date,month,year,open,close,low,high,volume,return,daily_return,cum_return,sector
HDFCBANK,2024-07-02 05:30:00,2024-07,2024,1715.0,1730.6,1702.75,1734.9,22960845,0.00909620991253639,0.014895613417780895,1.1475746825370519,BANKING
HDFCBANK,2024-07-03 05:30:00,2024-07,2024,1791.0,1768.65,1764.65,1794.0,61608901,-0.012479061976549364,0.021986594244770785,1.1728059414475656,BANKING
HDFCBANK,2024-07-04 05:30:00,2024-07,2024,1759.75,1727.15,1724.85,1759.75,22924329,-0.018525358715726616,-0.02346422412574567,1.1452869599814337,BANKING
HDFCBANK,2024-07-05 05:30:00,2024-07,2024,1685.0,1648.1,1642.2,1685.0,41121274,-0.02189910979228492,-0.04576904148452665,1.0928682735983561,BANKING
HDFCBANK,2024-07-08 05:30:00,2024-07,2024,1645.3,1635.35,1627.15,1654.95,19543900,-0.006047529325958819,-0.007736181056974711,1.084413646762376,BANKING
HDFCBANK,2024-07-09 05:30:00,2024-07,2024,1625.0,1636.5,1620.35,1646.7,24275439,0.007076923076923077,0.000703213379398937,1.0851762209475821,BANKING
HDFCBANK,2024-07-10 05:30:00,2024-07,2024,1629.95,1626.1,1620.75,1640.0,22753591,-0.002362035645265276,-0.0063550259700581035,1.0782798978813708,BANKING
HDFCBANK,2024-07-11 05:30:00,2024-07,2024,1623.95,1621.9,1601.0,1625.85,22088537,-0.0012623541365189535,-0.002582866982350329,1.0754948443354009,BANKING
HDFCBANK,2024-07-12 05:30:00,2024-07,2024,1622.0,1622.7,1611.15,1638.4,28024980,0.00043156596794084186,0.0004932486589801499,1.0760253307251093,BANKING
HDFCBANK,2024-07-15 05:30:00,2024-07,2024,1623.5,1622.1,1615.2,1629.8,16687847,-0.0008623344625808999,-0.00036975411351458654,1.0756274659328278,BANKING
HDFCBANK,2024-07-16 05:30:00,2024-07,2024,1620.75,1619.75,1616.8,1627.0,14475162,-0.0006169983032546661,-0.0014487392885764727,1.074069162163059,BANKING
HDFCBANK,2024-07-18 05:30:00,2024-07,2024,1608.0,1614.8,1599.15,1623.95,16858532,0.004228855721393006,-0.0030560271646858927,1.0707867776267372,BANKING
